View,Category,Randomize,Score,Type,Question,Correct,Answers,Note
,,,,,,,Direct & Managment Project Execution,
,,,,,,,Project Execution,
,,,,,,,Monitor & Control Project Work,
,,,,,,,Verify Scope,
Radio,I_FW,0,1,SingleQuestion,PMBok is,,,[Qno: PML_2616] >> 
,,,,,,1,Project Management Standard,
,,,,,,,Project Management Rule Book,
,,,,,,,Project Management Process Booklet,
,,,,,,,only for IT Project,
Radio,M_CM,0,1,SingleQuestion,Earn value management tool & technique is part of which process,,,[Qno: PML_2617] >> 
,,,,,,,Estimate Cost,
,,,,,,,Determine Budget,
,,,,,,1,Control Cost,
,,,,,,,Develop Schedule,
Radio,I_FW,0,1,SingleQuestion,Project is not about,,,[Qno: PML_2618] >> 
,,,,,,,Temporary Endevour,
,,,,,,,Has progressive elaboration,
,,,,,,,Involves resources,
,,,,,,1,Maintains the status quo,
,,,,,,,Produces unique work,
Radio,All_IM,0,1,SingleQuestion,Find odd man out,,,[Qno: PML_2620] >> 
,,,,,,,Develop Project Managment Plan,
,,,,,,,Develop Project Charter,
,,,,,,,Create WBS,
,,,,,,1,Planning,
Radio,P_SM,0,1,SingleQuestion,Requirement Traceablity Matrix is output of which process,,,[Qno: PML_2621] >> 
,,,,,,1,Collect Requirement,
,,,,,,,Define Scope,
,,,,,,,Create WBS,
,,,,,,,Define Activities,
Radio,P_IM,0,1,SingleQuestion,In project integration management knowledge area Project Chater is input to which process,,,[Qno: PML_2622] >> 
,,,,,,,Develop Project Charter,
,,,,,,1,Develop Project Management Plan,
,,,,,,,Direct & Manage Project Execution,
,,,,,,,Monitor & Control Project Work,
Radio,P_FW,0,1,SingleQuestion,Your project is to reach airport within next 2 hours. Who is (are) not the stakeholders in the project?,,,[Qno: PML_2623] >> 
,,,,,,,Your Driver,
,,,,,,,Traffic Police Cop at signals,
,,,,,,,Your Spouse,
,,,,,,1,All above are stakeholders,
,,,,,,,No of above is correct answer,
Radio,P_FW,0,1,SingleQuestion,Which of these is program manager,,,[Qno: PML_2625] >> 
,,,,,,,Individual who manages 20 different projects,
,,,,,,1,Individual who manages 5 different but interconnected projects,
,,,,,,,Individual who is responsible for optimizing the profit in project,
,,,,,,,Individual who is managing all human resources,
Radio,P_FW,0,1,SingleQuestion,How many project management process are there in PMBoK 4th Edition?,,,[Qno: PML_2626] >> 
,,,,,,,20,
,,,,,,,44,
,,,,,,1,42,
,,,,,,,None of the above,
Radio,I_COM,0,1,SingleQuestion,Stakeholder Register is,,,[Qno: PML_2627] >> 
,,,,,,1,Input/Ouput,
,,,,,,,Tool Technique,
,,,,,,,Process name,
,,,,,,,All of above,
Radio,P_SM,0,1,SingleQuestion,What is the next process after collect requirement?,,,[Qno: PML_2628] >> 
,,,,,,,Development Project Management Plan,
,,,,,,,Create WBS,
,,,,,,1,Define Scope,
,,,,,,,Define Sequence,
Radio,All_PMI,0,1,SingleQuestion,PMI in not involved in ,,,[Qno: PML_2630] >> 
,,,,,,,Project Management Research,
,,,,,,,Project Management Credential Development,
,,,,,,,Project Management Standard Development,
,,,,,,1,Conduct PMP Trainings,
,,,,,,,All of Above,
Radio,I_IM,0,1,SingleQuestion,What is PDU?,,,[Qno: PML_2631] >> 
,,,,,,,Professional Divisional Units,
,,,,,,,Personal Development Union,
,,,,,,1,Professional Development Units,
,,,,,,,Project Development Unit,
Radio,I_IM,0,1,SingleQuestion,Project Charter is signed by,,,[Qno: PML_2632] >> 
,,,,,,,Stakeholders,
,,,,,,,Boss,
,,,,,,1,Sponsor,
,,,,,,,Project Manager,
Radio,P_CM,0,1,SingleQuestion,During what project life cycle phase is the detailed project budget created,,,[Qno: PML_2608] >> 
,,,,,,1,Planning,
,,,,,,,Initiating,
,,,,,,,Before cost estimating,
,,,,,,,Executing,
Radio,I_IM,0,1,SingleQuestion,Which process group process recognizes that a project or phase should begin and commits the organization for that,,,[Qno: PML_2609] >> 
,,,,,,,Planning process,
,,,,,,,Soliciation process,
,,,,,,,Scoping process,
,,,,,,1,Initiating process,
Radio,M_CM,0,1,SingleQuestion,Cost control is concerned with,,,[Qno: PML_2675] >> 
,,,,,,,Resource rates,
,,,,,,,Chart of accounts,
,,,,,,,Organizational Policies,
,,,,,,1,Managing changes when they occur,
Radio,_SM,0,1,SingleQuestion,Which one of the outputs below is output of define scope process,,,[Qno: PML_2633] >> 
,,,,,,,Initial project charter,
,,,,,,,Work breakdown strcture,
,,,,,,1,Project scope statement,
,,,,,,,Preliminary project scope statement,
Radio,M_QM,0,1,SingleQuestion,A Run chart is a useful tool in Quality Control process. It is used to show,,,"[Qno: PML_560] >> PMBOK® Guide® 4th Edition, page 211."
,,,,,,,Behavior of data points against control criteria.,
,,,,,,,Behavior of data points against specifications.,
,,,,,,1,Patterns and trends in a row of data points.,
,,,,,,,The error margin of a sample versus a whole population.,
Radio,M_QM,0,4,SingleQuestion,What is the purpose of 5 step method?,,,"[Qno: PML_658] >> DMAIC (Define, Measure, Analyse, Improve, Control) is used in Six Sigma"
,,,,,,,Identification of random causes,
,,,,,,,Identification of special causes,
,,,,,,,Identification of causes of conflicts,
,,,,,,1,Root cause analysis,
